2020	Терапевт	март	1778478	548078	448560	2775116	3
2020	Оториноларинголог	март	280486	23384	67574	371444	3
2020	Офтальмолог	март	347974	12584	54418	414976	3
2020	Хирург	март	456642	21716	17884	496242	3
2020	Уролог	март	249442	12456	22110	284008	3
2020	Терапевт	апрель	660012	77750	65124	802886	4
2020	Оториноларинголог	апрель	134826	2060	2108	138994	4
2020	Офтальмолог	апрель	107758	810	728	109296	4
2020	Хирург	апрель	156292	1178	848	158318	4
2020	Уролог	апрель	90394	648	640	91682	4
2020	Терапевт	май	220634	83332	133036	437002	5
2020	Оториноларинголог	май	85484	4026	6900	96410	5
2020	Офтальмолог	май	94374	1972	2544	98890	5
2020	Хирург	май	121844	3788	5526	131158	5
2020	Уролог	май	65756	3602	3214	72572	5
2020	Терапевт	июнь	571960	214382	343776	1130118	6
2020	Оториноларинголог	июнь	170948	12602	18606	202156	6
2020	Офтальмолог	июнь	2311338	13832	23708	2348878	6
2020	Хирург	июнь	266260	20706	23342	310308	6
2020	Уролог	июнь	145306	5798	7918	159022	6
2020	Терапевт	июль	1237956	359806	516370	2114132	6
2020	Оториноларинголог	июль	273254	17536	19412	310202	7
2020	Офтальмолог	июль	377530	17086	27674	422290	7
2020	Хирург	июль	449046	18284	25370	492700	7
2020	Уролог	июль	240960	4858	4560	250378	7
2020	Терапевт	август	1169452	437662	673298	2280412	8
2020	Оториноларинголог	август	271020	18556	35404	324980	8
2020	Офтальмолог	август	371260	13748	37616	422624	8
2020	Хирург	август	431054	30058	32190	493302	8
2020	Уролог	август	245408	8028	9330	262766	8
2020	Терапевт	сентябрь	1001012	396330	1144814	2542156	9
2020	Оториноларинголог	сентябрь	326334	21942	41580	389856	9
2020	Офтальмолог	сентябрь	406924	18630	51608	477162	9
2020	Хирург	сентябрь	502236	34242	31224	567702	9
2020	Уролог	сентябрь	285804	12420	8754	306978	9
