id good_pat all_pat coeff
1 272 319 0.852664576802508
2 248 297 0.835016835016835
3 295 340 0.867647058823529
4 293 327 0.896024464831804
5 272 315 0.863492063492064
6 277 326 0.849693251533742
7 302 352 0.857954545454545
8 270 303 0.891089108910891
9 295 335 0.880597014925373
10 279 316 0.882911392405063
11 293 349 0.839541547277937
12 300 336 0.892857142857143
13 275 321 0.856697819314642
14 271 302 0.897350993377483
15 286 318 0.89937106918239
16 296 328 0.902439024390244
17 294 350 0.84
18 279 315 0.885714285714286
19 255 303 0.841584158415842
20 292 344 0.848837209302326
21 288 340 0.847058823529412
22 264 296 0.891891891891892
23 297 328 0.905487804878049
24 334 369 0.905149051490515
25 300 339 0.884955752212389
26 320 363 0.881542699724518
27 301 353 0.852691218130312
28 283 318 0.889937106918239
29 345 397 0.869017632241814
30 315 370 0.851351351351351
31 291 339 0.858407079646018
32 281 315 0.892063492063492
33 320 384 0.833333333333333
34 292 321 0.909657320872274
35 281 315 0.892063492063492
36 241 280 0.860714285714286
37 267 294 0.908163265306122
38 270 298 0.906040268456376
39 264 306 0.862745098039216
40 323 374 0.863636363636364
41 329 370 0.889189189189189
42 308 367 0.839237057220708
43 314 367 0.85558583106267
44 316 368 0.858695652173913
45 315 353 0.892351274787535
46 353 405 0.871604938271605
47 308 369 0.834688346883469
48 366 439 0.83371298405467
49 336 385 0.872727272727273
50 371 435 0.852873563218391
51 340 385 0.883116883116883
52 371 439 0.845102505694761
53 330 377 0.875331564986737
54 371 445 0.833707865168539
55 358 423 0.846335697399527
56 348 400 0.87
57 342 395 0.865822784810127
58 416 472 0.88135593220339
59 230 254 0.905511811023622
60 275 315 0.873015873015873
